Image Name, City URL
Kabul,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Kabul.svg
Kavajë,https://upload.wikimedia.org/wikipedia/commons/0/00/Flamuri_i_Bashkis%C3%AB_Kavaj%C3%AB.svg
Shkodër,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flamuri_i_Bashkis%C3%AB_Shkod%C3%ABr.svg
Tirana,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Tirana.svg
Algiers,https://upload.wikimedia.org/wikipedia/commons/c/c6/Flag_of_Algiers.svg
Andorra la Vella,https://upload.wikimedia.org/wikipedia/commons/6/6a/Flag_of_Andorra_la_Vella.svg
Bahía Blanca,https://upload.wikimedia.org/wikipedia/commons/8/8e/Bandera_de_Bahia_Blanca.svg
Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/f/f5/Bandera_de_la_Ciudad_de_Buenos_Aires.svg
Córdoba,https://upload.wikimedia.org/wikipedia/commons/a/aa/Bandera_de_la_Ciudad_de_C%C3%B3rdoba.svg
Corrientes,https://upload.wikimedia.org/wikipedia/commons/9/95/Bandera_de_Ciudad_de_Corrientes.svg
La Plata,https://upload.wikimedia.org/wikipedia/commons/6/6e/Bandera_de_La_Plata.svg
Mar del Plata,https://upload.wikimedia.org/wikipedia/commons/a/a2/Bandera_de_Mar_del_Plata.svg
Neuquén,https://upload.wikimedia.org/wikipedia/commons/8/8c/Bandera_ciudad_Neuqu%C3%A9n.svg
Paraná,https://upload.wikimedia.org/wikipedia/commons/e/ed/Bandera_de_Paran%C3%A1%2C_Entre_R%C3%ADos.svg
Pilar,https://upload.wikimedia.org/wikipedia/commons/1/12/Bandera_del_Partido_del_Pilar.svg
Rosario,https://upload.wikimedia.org/wikipedia/commons/b/be/Bandera_de_la_Ciudad_de_Rosario.svg
San Fernando del Valle de Catamarca,https://upload.wikimedia.org/wikipedia/commons/3/33/Flag_of_San_Fernando_del_Valle_de_Catamarca.svg
San Luis,https://upload.wikimedia.org/wikipedia/commons/7/76/Bandera_de_la_Ciudad_de_San_Luis_%28Argentina%29.svg
Santiago del Estero,https://upload.wikimedia.org/wikipedia/commons/5/59/Bandera_de_la_Ciudad_de_Santiago_del_Estero.svg
Vicente López,https://upload.wikimedia.org/wikipedia/commons/e/e9/Flag_of_Vicente_L%C3%B3pez.svg
Ashtarak,https://upload.wikimedia.org/wikipedia/commons/b/b5/Flag_of_Ashtarak%2C_Armenia.svg
Gyumri,https://upload.wikimedia.org/wikipedia/commons/c/c5/Flag_of_Gyumri.svg
Vagharshapat,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Ejmiatsin.svg
Yerevan,https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Yerevan.svg
Adelaide,https://upload.wikimedia.org/wikipedia/commons/6/69/Flag_of_Adelaide.svg
Bendigo,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Bendigo.svg
Brisbane,https://upload.wikimedia.org/wikipedia/commons/d/df/Flag_of_Brisbane.svg
Canberra,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_the_Australian_Capital_Territory.svg
Hobart,https://upload.wikimedia.org/wikipedia/commons/5/54/City_of_Hobart_Flag.svg
Melbourne,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_Melbourne.svg
Launceston,https://upload.wikimedia.org/wikipedia/commons/7/72/Tasmania_Launceston_City_Flag.svg
Perth,https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Perth.svg
Sydney,https://upload.wikimedia.org/wikipedia/commons/8/84/City_of_Sydney_Flag.svg
Innsbruck,https://upload.wikimedia.org/wikipedia/commons/c/c1/Banner_Innsbruck.svg
Salzburg,https://upload.wikimedia.org/wikipedia/commons/6/61/Banner_Salzburg_%28Stadt%29.svg
